g24,"68",8.478
g24,"291",4.424
g24,"32",5.382
g24,"130",5.742
g24,"60",13.091
g24,"253",3.75
g24,"230",5.715
g24,"241",4.628
g24,"333",4.448
g24,"194",4.948
g24,"107",7.554
g24,"48",9.603
g24,"249",3.679
g24,"14",13.882
g24,"199",4.159
g24,"221",3.895
g24,"311",4.71
g24,"1",21.585
g24,"356",3.841
g24,"228",4.622
g24,"136",4.384
g24,"369",4.157
g24,"117",4.025
g24,"302",4.751
g24,"52",7.83
g24,"162",3.224
g24,"15",28.916
g24,"11",18.561
g24,"13",32.185
g24,"332",4.402
g24,"0",36.08
g24,"4,277",15.657
g24,"195,351",7.987
g24,"216,110",10.866
g24,"371,14",16.425
g24,"113,270",10.35
g24,"224,253",8.778
g24,"283,119",14.496
g24,"176,118",9.815
g24,"112,346",11.34
g24,"235,148",7.793
g24,"11,213",23.203
g24,"328,284",9.13
g24,"51,95",14.021
g24,"322,370",7.742
g24,"61,151",14.811
g24,"369,170",7.746
g24,"256,364",6.275
g24,"216,259",10.049
g24,"97,343",10.781
g24,"145,155",14.534
g24,"300,255",7.816
g24,"201,258",10.115
g24,"17,301",22.314
g24,"124,245",10.822
g24,"212,206",11.218
g24,"88,340",12.668
g24,"280,187",8.852
g24,"345,359",8.208
g24,"377,191",8.629
g24,"224,44",11.602
g24,"0,10",56.64
g24,"339,260,55",20.495
g24,"201,266,83",15.491
g24,"250,189,375",12.392
g24,"240,22,15",46.171
g24,"360,314,157",13.841
g24,"296,201,303",12.442
g24,"331,86,87",19.095
g24,"257,116,6",28.78
g24,"280,276,102",17.085
g24,"263,118,207",14.335
g24,"176,180,295",14.118
g24,"337,137,235",15.131
g24,"280,373,311",13.375
g24,"2,379,196",26.063
g24,"265,66,262",17.292
g24,"105,218,287",15.875
g24,"186,28,246",20.852
g24,"283,291,102",15.702
g24,"248,258,211",13.466
g24,"177,212,182",18.277
g24,"0,275,276",43.765
g24,"313,169,319",14.007
g24,"234,307,14",21.473
g24,"90,325,117",13.018
g24,"281,299,92",14.013
g24,"282,46,130",26.394
g24,"16,344,36",28.787
g24,"8,42,231",25.479
g24,"143,127,7",23.165
g24,"56,137,319",15.145
g24,"0,10,13",72.28
g24,"176,35,148,94",19.987
g24,"81,130,85,270",21.513
g24,"336,331,139,86",21.997
g24,"232,364,150,359",18.183
g24,"242,164,58,254",20.496
g24,"175,12,197,159",27.76
g24,"96,132,55,215",25.884
g24,"129,261,107,373",20.068
g24,"10,115,221,310",39.168
g24,"18,9,74,203",52.597
g24,"368,82,228,360",21.702
g24,"218,347,259,278",17.433
g24,"112,264,322,355",16.676
g24,"114,268,230,332",20.159
g24,"345,202,294,15",38.249
g24,"337,218,323,164",17.006
g24,"152,377,64,30",22.037
g24,"24,156,108,36",30.92
g24,"152,81,158,39",33.778
g24,"289,129,66,213",24.812
g24,"19,4,302,287",36.206
g24,"291,235,87,111",22.127
g24,"360,19,260,318",31.185
g24,"193,50,177,102",25.404
g24,"345,105,293,221",20.324
g24,"99,252,53,302",21.73
g24,"151,258,340,199",18.811
g24,"8,313,166,255",27.497
g24,"144,9,80,205",33.571
g24,"288,69,102,167",20.38
g24,"0,10,13,15",87.93
g24,"136,109,173,345,219",24.775
g24,"194,176,49,280,351",28.004
g24,"33,272,273,248,120",24.565
g24,"68,43,371,20,86",40.085
g24,"137,170,109,275,85",27.489
g24,"130,259,173,307,188",25.341
g24,"174,309,149,120,58",24.022
g24,"69,296,282,366,250",19.101
g24,"164,37,208,20,53",36.604
g24,"64,194,75,174,58",25.777
g24,"193,292,39,300,314",33.585
g24,"289,136,41,114,281",25.883
g24,"288,58,273,151,186",23.019
g24,"234,141,23,55,151",31.418
g24,"6,7,46,343,314",47.277
g24,"96,122,211,20,58",30.399
g24,"230,300,82,215,59",30.468
g24,"81,52,85,123,348",28.398
g24,"193,277,150,281,222",23.341
g24,"129,161,364,51,244",23.881
g24,"162,106,13,333,20",51.039
g24,"163,5,305,371,151",31.106
g24,"32,160,230,200,204",25.348
g24,"32,162,233,307,57",21.731
g24,"128,352,110,277,316",23.79
g24,"132,240,338,182,93",22.882
g24,"101,106,277,157,126",22.716
